list_of_given_concepts,concepts_suggested_by_llm,closest_class,cosine_similarity,class_classification_similarity_based,llm_auto_classification,ll_auto_eval_score
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [PATTERNS] and behaviors: [capitalize(String), format(String, Object), repeat(String)]",Record,0.6975038,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",BlobEmitter,0.643481,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), trim(String)]",Cripple,0.6596854,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), trim(String)]",Power,0.6795343,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [SYMBOLS] and behaviors: [format(String, Object), camelCase(String), pluralize(String)]",Tag,0.6833225,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [match(String, String), replace(String, String), split(String, String)]",ItemStatusHandler,0.6914841,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Constants] with properties: [PI, EULER'S_NUMBER] and behaviors: [round(Number), toFixed(Number)]",PointF,0.7783161,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransforms] with properties: [CONSTANTS] and behaviors: [lower(String), upper(String), pluralize(String)]",IntroScene,0.67875123,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",NPC,0.69060856,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [concatenate(String, String), replace(String, String, String), split(String, String)]",Horror,0.6835344,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransforms] with properties: [CONSTANTS] and behaviors: [upperCase(String), compose(String, Object), pluralize(String)]",AmuletScene,0.68067575,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), trim(String)]",FetidRat,0.6773516,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String, Pattern), extract(String, Pattern), validate(String, Pattern)]",Generator,0.68667495,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",ClassArmor,0.68856126,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(Int, Int)]",Resistance,0.68225765,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Converters] with properties: [CHARS] and behaviors: [toLowerCase(String), format(String, Object), repeat(String, int)]",RectF,0.6831629,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTransformer] with properties: [CHARS] and behaviors: [lower(String), upper(String), split(String)]",Matrix,0.6671111,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [PUNCTUATION] and behaviors: [format(String, Object), capitalize(String), append(String, String)]",Toast,0.66661036,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",Senior,0.6861044,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strippers] with properties: [CONSONANTS] and behaviors: [lower(String), format(String, Object), pluralize(String)]",Tamahawk,0.703266,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(Integer, Integer)]",Eye,0.68442744,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), trim(String)]",Game,0.68447536,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(String, int, int)]",Flow,0.67880213,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [concat(String, String), split(String), trim(String)]",Rect,0.66650385,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Based on the context, I suggest:

Concept: Filters with properties: REGEX and behaviors: match(String), replace(String), validate(String)

Please let me know if you'd like me to generate another suggestion!",Chrome,0.67226696,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), pad(String)]",WandOfBlink,0.6444069,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), split(String, String)]",Luck,0.67690456,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), split(String), join(String)]",Web,0.70875204,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [extract(String, String), validate(String, String), tokenize(String)]",Mace,0.67415375,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), truncate(String)]",ColorMath,0.6523869,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [SYMBOLS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",SnipersMark,0.6811353,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), concatenate(String, String), replace(String, String)]",Effect,0.6654701,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), trim(String)]",ShortSword,0.6641376,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTools] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(Integer, Integer)]",Leech,0.65831023,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Text] with properties: [CHARACTERS] and behaviors: [lower(String), replace(String, String), truncate(String)]",Ooze,0.70130026,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [concat(String, String), split(String, String), reverse(String)]",Path,0.6820239,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [match(String, Pattern), replace(String, String), validate(String)]",ImpShopkeeper,0.6828625,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(Int, Int)]",Goo,0.67733026,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransform] with properties: [CHARACTERS] and behaviors: [uppercase(String), replace(String, String), truncate(String)]",ScrollOfUpgrade,0.6599811,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Chars] with properties: [ALPHABETS] and behaviors: [toLowerCase(String), format(String, Object), trim(String)]",CurareDart,0.67941207,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormatter] with properties: [FORMAT_SPECS] and behaviors: [format(String, Object), capitalize(String), truncate(String)]",Renderbuffer,0.6408796,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(Int, Int)]",RatKing,0.67692566,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), concatenate(String, String)]",Electricity,0.6598387,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(Int, Int)]",Monk,0.67658573,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransforms] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String), reverse(String), normalize(String)]",WaterOfAwareness,0.67348856,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), trim(String)]",ScrollOfLullaby,0.65892243,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextProcessor] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), trim(String)]",PassagePainter,0.68810964,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARS] and behaviors: [lower(String), uppercase(String), truncate(String, int)]",Albino,0.6977841,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTools] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String, String)]",Pickaxe,0.66053236,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Modifiers] with properties: [ADJECTIVES] and behaviors: [capitalize(String), format(String, Object), pluralize(String)]",Shielded,0.6804027,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String), extract(String, Object), validate(String)]",Food,0.6645415,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), split(String)]",Dart,0.6674051,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), replace(String, String), trim(String)]",ListItem,0.6649605,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [trim(String), reverse(String), concatenate(String, String)]",SkeletonKey,0.66502476,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringManipulator] with properties: [CHARS] and behaviors: [toLowerCase(String), replace(String, String), truncate(String)]",GrippingTrap,0.66251254,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Based on the concept definition provided, I suggest:

Concept: Constants with properties: LETTERS and behaviors: [toUpperCase(String), format(String, Object), trim(String)]",MailArmor,0.6821605,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Converters] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), pluralize(String)]",Spinner,0.64334947,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), split(String)]",Bleeding,0.6676289,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String, Pattern), extract(String, Pattern), validate(String, Pattern)]",Swarm,0.6638771,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringHelper] with properties: [CHARACTERS] and behaviors: [camelCase(String), trim(String), escape(String)]",MageArmor,0.6650486,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), split(String)]",Bat,0.68494546,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransformer] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), pluralize(String)]",BlacksmithSprite,0.6560497,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransformers] with properties: [CHARS] and behaviors: [uppercase(String), format(String, Object), iterate(String)]",SpellSprite,0.6726639,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringFormat] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), truncate(String)]",Texture,0.64175904,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), trim(String)]",WndSadGhost,0.65688026,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringHelper] with properties: [CHARS] and behaviors: [toLowerCase(String), upperCase(String), split(String, String)]",DewVial,0.64764786,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextProcessor] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), truncate(String)]",Acidic,0.67920196,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [CHARACTERS] and behaviors: [uppercase(String), format(String, Object), truncate(String)]",ColorBlock,0.66931367,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [match(String), replace(String, String), extract(String)]",DriedRose,0.6685897,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), trim(String)]",Blob,0.65029097,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARS] and behaviors: [reverse(String), format(String, Object), pad(String)]",WandOfAvalanche,0.70650786,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [FORMATTERS] and behaviors: [format(String, Object), format(String, String), format(String, List)]",Painter,0.7170732,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Char] with properties: [ALPHABETS] and behaviors: [toUpperCase(String), format(String, Object), toLowerCase(String)]",PotionOfInvisibility,0.669099,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",PotionOfToxicGas,0.67518616,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",PotionOfLiquidFlame,0.6746989,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(Integer, Integer)]",Statistics,0.67483944,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [validate(String), normalize(String), sanitize(String)]",WebParticle,0.66641665,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), concatenate(String, String), reverse(String)]",MysteryMeat,0.6585609,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), trim(String)]",PotionOfMight,0.6428071,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",ArmorKit,0.672467,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringHelper] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), concatenate(String, String), repeat(String, int)]",SummoningTrap,0.65497476,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Text] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), split(String)]",ScrollOfPsionicBlast,0.69289744,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(Integer, Integer)]",RingBuff,0.66230154,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String, String), extract(String, String), validate(String)]",Spear,0.65719825,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Transformers] with properties: [CHARACTERS] and behaviors: [lower(String), format(String, Object), pluralize(String)]",Sword,0.6891153,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [CHARACTERS] and behaviors: [uppercase(String), transform(String, Object), iterate(String)]",PosTweener,0.6940826,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), replace(String, String, String)]",FireTrap,0.66394794,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [REGEX] and behaviors: [validate(String), normalize(String), extract(String)]",GoldIndicator,0.665933,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextProcessor] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), normalize(String), pluralize(String)]",Metabolism,0.67251104,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Filters] with properties: [REGEX] and behaviors: [match(String, String), replace(String, String), extract(String)]",Effects,0.6670339,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), trim(String)]",ScrollOfMagicMapping,0.6586072,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), replace(String, String), substring(String, int, int)]",PotionOfFrost,0.65664387,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransforms] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), trim(String)]",ScaleTweener,0.67300504,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",PoisonTrap,0.66906095,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [concat(String, String), replace(String, String), substring(Int, Int)]",IncendiaryDart,0.66765755,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransformer] with properties: [CHARS] and behaviors: [toLowerCase(String), format(String, Object), trim(String)]",Shader,0.6634507,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [StringTools] with properties: [ALPHABETS] and behaviors: [camelCase(String), slugify(String), pad(String)]",AlchemyPot,0.6469895,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [REGEX] and behaviors: [match(String), extract(String), validate(String)]",Dagger,0.6540941,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), trim(String)]",DashboardItem,0.6377715,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), replace(String, String, String)]",Terror,0.6562209,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Constants] with properties: [COLORS] and behaviors: [parse(Color, String), validate(Color)]",Banner,0.72795445,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatters] with properties: [FORMATS] and behaviors: [format(String, Object), format(String, Object, Object), parse(String)]",Lightning,0.6952317,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), replace(String, String), substring(String, int, int)]",Heap,0.6604241,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), truncate(String)]",MissileWeapon,0.6464775,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Formatter] with properties: [CHARACTERS] and behaviors: [capitalize(String), format(String, Object), trim(String)]",RedButton,0.6501901,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Text] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), replace(String, String, String)]",ScrollOfChallenge,0.6663935,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toUpperCase(String), substring(String, int, int), replace(String, String)]",ParalyticTrap,0.66100633,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Parsers] with properties: [SYNTAX] and behaviors: [tokenize(String), validate(String), normalize(String)]",HealthIndicator,0.6525513,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [uppercase(String), concatenate(String, String), truncate(String)]",PotionOfStrength,0.639961,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), upperCase(String), concatenate(String, String)]",IceBlock,0.63258636,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Punctuation] with properties: [PUNCTUATION_MARKS] and behaviors: [format(String, Object), capitalize(String)]",BadgesScene,0.6468647,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [TextTransformer] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), format(String, Object), repeat(String, Integer)]",PixelDungeon,0.67615545,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [CHARACTERS] and behaviors: [toLowerCase(String), split(String), trim(String)]",Blindness,0.64373785,implementation,,
"concept: [Utils] with properties: [VOWELS] and behaviors: [capitalize(String), format(String, Object), indefinite(String)]","Concept: [Strings] with properties: [ALPHABETS] and behaviors: [uppercase(String), concatenate(String, String), substring(String)]",GoldenKey,0.6558728,implementation,,
